3016,8.5,Physical activity,P,P,,,Group fitness & aerobics,With 6 – 8 inch step ,With 6 – 8 inch step ,Vigorous intensity
15300,4,Sport,,,,,Gymnastics,General,General,Moderate intensity
15310,4,Sport,,,,,Hacky sack ,General,General,Moderate intensity
15340,3.5,Sport,,,,,Hand gliding ,General,General,Moderate intensity
15320,12,Sport,,,,,Handball,General,General,Vigorous intensity
15330,8,Sport,,,,,Handball,Team,Team,Vigorous intensity
2060,5.5,Physical activity,,P,,,Health club,General,General,Moderate intensity
15370,4,Sport,,,,,Horseback riding ,General,General,Light Intensity
15380,3.5,Sport,,,,,Horseback riding ,"Saddling horse, grooming horse ","Saddling horse, grooming horse ",Moderate intensity
15390,6.5,Sport,,,,,Horseback riding ,Trotting ,Trotting ,Moderate intensity
15400,2.5,Sport,,,,,Horseback riding ,Walking ,Walking ,Vigorous intensity
15360,8,Sport,,,,,Ice hockey ,General,General,Vigorous intensity
19020,5.5,Recreational activity,,,,,Ice skating,< 14.5 kph ,< 9 mph,Moderate intensity
19040,9,Recreational activity,P,,,,Ice skating,> 14.5 kph ,> 9 mph,Vigorous intensity
19030,7,Recreational activity,P,,,,Ice skating,General,General,Vigorous intensity
19050,15,Sport,P,,,,Ice skating,Speed competitive ,Speed competitive ,Vigorous intensity
15420,12,Sport,,,,,Jai alai ,General,General,Vigorous intensity
12020,7,Physical activity,P,,,,Jogging,General,General,Moderate intensity
12025,8,Physical activity,P,,,,Jogging,In place,In place,Vigorous intensity
12010,6,Physical activity,P,,,,Jogging,Jog/walk combination ,Jog/walk combination ,Vigorous intensity
12027,4.5,Physical activity,P,,,,Jogging,On a mini-tramp,On a mini-tramp,Vigorous intensity
18366,8,Physical activity,P,,,,Jogging,Water jogging,Water jogging,Vigorous intensity
15440,4,Sport,,,,,Juggling ,General,General,Moderate intensity
15450,7,Sport,,,,,Kickball ,General,General,Vigorous intensity
15460,8,Sport,,,,,Lacrosse ,General,General,Vigorous intensity
15570,3,Sport,,,,,Lawn bowling,General,General,Moderate intensity
15430,10,Sport,,,,,Martial arts,"Judo, jujitsu, karate, kick boxing, tae kwan do ","Judo, jujitsu, karate, kick boxing, tae kwan do ",Vigorous intensity
15470,4,Sport,,,,,Motor-cross ,General,General,Moderate intensity
15480,9,Sport,,,,,Orienteering ,General,General,Vigorous intensity
15500,6,Sport,,,,,Paddleball,"Casual, general","Casual, general",Vigorous intensity
15490,10,Sport,,,,,Paddleball,Competitive,Competitive,Vigorous intensity
15510,8,Sport,,,,,Polo,General,General,Vigorous intensity
18010,2.5,Recreational activity,,,,,Power boating,General,General,Light Intensity
15530,7,Sport,,,,,Racquetball,"Casual, general","Casual, general",Vigorous intensity
15520,10,Sport,,,,,Racquetball,Competitive,Competitive,Vigorous intensity
15535,11,Sport,,,,,Rock climbing ,Ascending rock,Ascending rock,Vigorous intensity
15540,8,Sport,,,,,Rock climbing ,Rappelling,Rappelling,Vigorous intensity
17120,8,Recreational activity,,,,,Rock or mountain climbing,Rock or mountain climbing,Rock or mountain climbing,Vigorous intensity
15591,12,Sport,,,,,Roller blading ,General,General,Vigorous intensity
15550,12,Sport,,,,,Rope jumping,Fast,Fast,Vigorous intensity
15551,10,Sport,,,,,Rope jumping,Moderate,Moderate,Vigorous intensity
15552,8,Sport,,,,,Rope jumping,Slow,Slow,Vigorous intensity
15560,10,Sport,,,,,Rugby ,General,General,Vigorous intensity
12120,16,Physical activity,P,,,,Running,16.0 kph ,10 mph ,Vigorous intensity
12130,18,Physical activity,P,,,,Running,17.4 kph ,10.9 mph ,Vigorous intensity
12030,8,Physical activity,P,,,,Running,8 kph ,5 mph ,Vigorous intensity
12040,9,Physical activity,P,,,,Running,8.3 kph ,5.2 mph ,Vigorous intensity
12050,10,Physical activity,P,,,,Running,8.8 kph ,6 mph ,Vigorous intensity
12060,11,Physical activity,P,,,,Running,10.7 kph ,6.7 mph ,Vigorous intensity
12070,11.5,Physical activity,P,,,,Running,11.4 kph ,7 mph ,Vigorous intensity
12080,12.5,Physical activity,P,,,,Running,12.0 kph ,7.5 mph ,Vigorous intensity
12090,13.5,Physical activity,P,,,,Running,12.8 kph ,8 mph ,Vigorous intensity
12100,14,Physical activity,P,,,,Running,13.8 kph ,8.6 mph ,Vigorous intensity
12110,15,Physical activity,P,,,,Running,14.7 kph ,9 mph ,Vigorous intensity
12140,9,Sport,P,,,,Running,Cross country,Cross country,Vigorous intensity
12160,8,Physical activity,P,,,,Running,In place,In place,Vigorous intensity
12190,8,Physical activity,P,,,,Running,Pushing a wheelchair/pram,Pushing a wheelchair/pram,Vigorous intensity
12170,15,Physical activity,P,,,,Running,Stairs,Stairs,Vigorous intensity
12180,10,Sport,P,,,,Running,Track running - team practice,Track running - team practice,Vigorous intensity
18120,3,Physical activity,,,,,Sailing,"Boat and board sailing, windsurfing, ice sailing, general","Boat and board sailing, windsurfing, ice sailing, general",Moderate intensity
18130,5,Sport,,,,,Sailing,In competition ,In competition ,Moderate intensity
18140,3,Physical activity,,,,,Sailing,"Sunfish/Laser/Hobby Cat Keel boats ocean sailing, yachting ","Sunfish/Laser/Hobby Cat Keel boats ocean sailing, yachting ",Moderate intensity
4130,2.5,Recreational activity,,,,,Shooting,Pistol shooting or trap shooting standing ,Pistol shooting or trap shooting standing ,Light Intensity
15580,5,Sport,,,,,Skateboarding ,General,General,Moderate intensity
15590,7,Sport,,,,,Skating roller,General,General,Vigorous intensity
2080,7,Physical activity,P,,,,Ski machine,General,General,Vigorous intensity
15600,3.5,Sport,,,,,Sky diving ,General,General,Moderate intensity
2090,6,Physical activity,P,,,,Slimnastics jazzercise ,General,General,Vigorous intensity
15610,7,Sport,,,,,Soccer,"Casual, general","Casual, general",Vigorous intensity
15605,10,Sport,,,,,Soccer,Competitive,Competitive,Vigorous intensity
15620,5,Sport,,,,,Softball / baseball,General,General,Moderate intensity
15630,4,Sport,,,,,Softball / baseball,Officiating,Officiating,Moderate intensity
